service,zone,dest_zip,weight_lb,rate_usd
UPS Ground,1,90001,1,6.72
UPS Ground,1,90001,2,6.91
UPS Ground,1,90001,3,8.0
UPS Ground,1,90001,4,8.29
UPS Ground,1,90001,5,8.59
UPS Ground,1,90001,6,9.5
UPS Ground,1,90001,7,9.64
UPS Ground,1,90001,8,10.32
UPS Ground,1,90001,9,10.43
UPS Ground,1,90001,10,10.99
UPS Ground,1,90001,11,11.57
UPS Ground,1,90001,12,12.32
UPS Ground,1,90001,13,12.88
UPS Ground,1,90001,14,13.38
UPS Ground,1,90001,15,13.85
UPS Ground,1,90001,16,14.26
UPS Ground,1,90001,17,14.65
UPS Ground,1,90001,18,14.81
UPS Ground,1,90001,19,14.97
UPS Ground,1,90001,20,15.19
UPS Ground,1,90001,21,16.1
UPS Ground,1,90001,22,16.11
UPS Ground,1,90001,23,16.12
UPS Ground,1,90001,24,16.26
UPS Ground,1,90001,25,16.41
UPS Ground,1,90001,26,16.55
UPS Ground,1,90001,27,16.69
UPS Ground,1,90001,28,16.83
UPS Ground,1,90001,29,16.98
UPS Ground,1,90001,30,17.12
UPS Ground,2,90301,1,6.72
UPS Ground,2,90301,2,6.91
UPS Ground,2,90301,3,8.0
UPS Ground,2,90301,4,8.29
UPS Ground,2,90301,5,8.59
UPS Ground,2,90301,6,9.5
UPS Ground,2,90301,7,9.64
UPS Ground,2,90301,8,10.32
UPS Ground,2,90301,9,10.43
UPS Ground,2,90301,10,10.99
UPS Ground,2,90301,11,11.57
UPS Ground,2,90301,12,12.32
UPS Ground,2,90301,13,12.88
UPS Ground,2,90301,14,13.38
UPS Ground,2,90301,15,13.85
UPS Ground,2,90301,16,14.26
UPS Ground,2,90301,17,14.65
UPS Ground,2,90301,18,14.81
UPS Ground,2,90301,19,14.97
UPS Ground,2,90301,20,15.19
UPS Ground,2,90301,21,16.1
UPS Ground,2,90301,22,16.11
UPS Ground,2,90301,23,16.12
UPS Ground,2,90301,24,16.26
UPS Ground,2,90301,25,16.41
UPS Ground,2,90301,26,16.55
UPS Ground,2,90301,27,16.69
UPS Ground,2,90301,28,16.83
UPS Ground,2,90301,29,16.98
UPS Ground,2,90301,30,17.12
UPS Ground,3,91901,1,6.72
UPS Ground,3,91901,2,6.91
UPS Ground,3,91901,3,8.0
UPS Ground,3,91901,4,8.29
UPS Ground,3,91901,5,8.59
UPS Ground,3,91901,6,9.5
UPS Ground,3,91901,7,9.64
UPS Ground,3,91901,8,10.32
UPS Ground,3,91901,9,10.43
UPS Ground,3,91901,10,10.99
UPS Ground,3,91901,11,11.57
UPS Ground,3,91901,12,12.32
UPS Ground,3,91901,13,12.88
UPS Ground,3,91901,14,13.38
UPS Ground,3,91901,15,13.85
UPS Ground,3,91901,16,14.26
UPS Ground,3,91901,17,14.65
UPS Ground,3,91901,18,14.81
UPS Ground,3,91901,19,14.97
UPS Ground,3,91901,20,15.19
UPS Ground,3,91901,21,16.1
UPS Ground,3,91901,22,16.11
UPS Ground,3,91901,23,16.12
UPS Ground,3,91901,24,16.26
UPS Ground,3,91901,25,16.41
UPS Ground,3,91901,26,16.55
UPS Ground,3,91901,27,16.69
UPS Ground,3,91901,28,16.83
UPS Ground,3,91901,29,16.98
UPS Ground,3,91901,30,17.12
UPS Ground,4,84101,1,6.91
UPS Ground,4,84101,2,7.69
UPS Ground,4,84101,3,8.98
UPS Ground,4,84101,4,9.7
UPS Ground,4,84101,5,10.28
UPS Ground,4,84101,6,11.47
UPS Ground,4,84101,7,11.85
UPS Ground,4,84101,8,12.22
UPS Ground,4,84101,9,12.42
UPS Ground,4,84101,10,12.86
UPS Ground,4,84101,11,13.54
UPS Ground,4,84101,12,14.09
UPS Ground,4,84101,13,14.34
UPS Ground,4,84101,14,14.89
UPS Ground,4,84101,15,15.39
UPS Ground,4,84101,16,15.72
UPS Ground,4,84101,17,17.02
UPS Ground,4,84101,18,17.14
UPS Ground,4,84101,19,17.75
UPS Ground,4,84101,20,18.19
UPS Ground,4,84101,21,18.82
UPS Ground,4,84101,22,19.46
UPS Ground,4,84101,23,19.74
UPS Ground,4,84101,24,20.89
UPS Ground,4,84101,25,20.98
UPS Ground,4,84101,26,21.85
UPS Ground,4,84101,27,22.27
UPS Ground,4,84101,28,23.13
UPS Ground,4,84101,29,23.25
UPS Ground,4,84101,30,23.37
UPS Ground,5,59001,1,7.45
UPS Ground,5,59001,2,7.71
UPS Ground,5,59001,3,9.0
UPS Ground,5,59001,4,9.93
UPS Ground,5,59001,5,10.42
UPS Ground,5,59001,6,14.89
UPS Ground,5,59001,7,15.77
UPS Ground,5,59001,8,15.87
UPS Ground,5,59001,9,15.97
UPS Ground,5,59001,10,16.07
UPS Ground,5,59001,11,17.43
UPS Ground,5,59001,12,17.6
UPS Ground,5,59001,13,18.07
UPS Ground,5,59001,14,18.32
UPS Ground,5,59001,15,19.17
UPS Ground,5,59001,16,19.32
UPS Ground,5,59001,17,19.99
UPS Ground,5,59001,18,20.72
UPS Ground,5,59001,19,21.53
UPS Ground,5,59001,20,22.78
